Recipe_id,Ingrediente,Cantidad,Unidad,Indice,Grams,Total_Grams,Num_comensales
74154,harina,10.0,None,482,21.0,116.0,1.0
74154,chorizo,500.0,gramos,181,1.0,500.0,1.0
74154,alubia,1.5,tazas,535,150.0,225.0,1.0
74154,queso,1.0,taza,77,150.0,150.0,1.0
74154,lechuga,1.0,rebanada,634,60.0,60.0,1.0
74154,cebolla,3.0,cucharadas soperas,610,17.0,51.0,1.0
74154,sal,1.0,pizca,908,1.0,1.0,1.0
74146,pollo,1.0,pechuga,242,400.0,400.0,1.0
74146,nuez moscada,1.0,pellizco,891,1.0,1.0,1.0
74146,mantequilla,150.0,gramos,419,1.0,150.0,1.0
74146,huevo,2.0,unidad,150,65.0,130.0,1.0
74146,cebolla,1.0,trozo,610,100.0,100.0,1.0
74146,leche,2.0,vasos,27,250.0,500.0,1.0
74146,pan rallado,1.0,tarro,507,250.0,250.0,1.0
74146,sal,1.0,pellizco,908,1.0,1.0,1.0
74146,harina,3.0,cucharadas soperas,482,17.0,51.0,1.0
74146,aceite de girasol,2.0,vasos,404,250.0,500.0,1.0
74146,pimienta negra,1.0,pellizco,902,1.0,1.0,1.0
74056,tomate,500.0,gramos,667,1.0,500.0,1.0
74056,romero,1.0,rama,906,50.0,50.0,1.0
74056,tomillo,1.0,rama,930,50.0,50.0,1.0
74056,albahaca,1.0,rama,589,50.0,50.0,1.0
74056,ajo,3.0,dientes,587,3.0,9.0,1.0
74056,sal,1.0,cucharada,908,10.0,10.0,1.0
74056,azúcar,1.0,cucharadita,936,7.0,7.0,1.0
74056,pimienta negra,1.0,cucharadita,902,7.0,7.0,1.0
74056,aceite de oliva,200.0,mililitros,410,0.0,0.0,1.0
74043,soja,1.0,bolsa,580,0.0,0.0,1.0
74043,sal,1.0,pellizco,908,1.0,1.0,1.0
74043,agua,1.0,litro,766,1000.0,1000.0,1.0
74043,sal,1.0,pellizco,908,1.0,1.0,1.0
74043,pimentón,1.0,pellizco,900,1.0,1.0,1.0
73727,leche,1.0,litro,27,1000.0,1000.0,1.0
73727,mantequilla,50.0,gramos,419,1.0,50.0,1.0
73727,cebolla,1.0,unidad,610,100.0,100.0,1.0
73727,harina,60.0,gramos,482,1.0,60.0,1.0
73727,pimienta,,al gusto,901,2.0,2.0,1.0
73727,nuez moscada,1.0,cucharada,891,10.0,10.0,1.0
73727,sal,,al gusto,908,3.0,3.0,1.0
73727,aceite de oliva,1.0,cucharada sopera,410,17.0,17.0,1.0
74020,cebolla,1.0,unidad,610,100.0,100.0,1.0
74020,aceite,1.0,chorro,409,2.0,2.0,1.0
74020,mantequilla,2.0,cucharadas soperas,419,17.0,34.0,1.0
74020,harina,1.0,taza,482,150.0,150.0,1.0
73994,harina,200.0,gramos,482,1.0,200.0,1.0
73994,sal,1.0,pizca,908,1.0,1.0,1.0
73994,pimienta,1.0,pizca,901,1.0,1.0,1.0
73994,orégano,1.0,pizca,892,1.0,1.0,1.0
73994,aceite,3.0,cucharadas soperas,409,17.0,51.0,1.0
73994,agua,1.0,chorro,766,2.0,2.0,1.0
73994,maíz,2.0,None,637,124.0,1011.0,1.0
73994,cebolla,1.0,unidad,610,100.0,100.0,1.0
73994,azúcar,2.0,cucharadas soperas,936,17.0,34.0,1.0
73994,sal,1.0,pizca,908,1.0,1.0,1.0
73994,queso mozzarella,200.0,gramos,86,1.0,200.0,1.0
73994,queso parmesano,100.0,gramos,92,1.0,100.0,1.0
73934,empanadilla,1.0,paquete,865,0.0,0.0,1.0
73934,espinaca,1.0,paquete,628,0.0,0.0,1.0
73934,piñón,20.0,gramos,571,1.0,20.0,1.0
73934,pasa,20.0,gramos,727,1.0,20.0,1.0
73934,aceite,1.0,chorro,409,2.0,2.0,1.0
73934,cebolla,1.0,unidad,610,0.0,0.0,1.0
73934,sal,1.0,pizca,908,1.0,1.0,1.0
73934,aceite,1.0,vaso,409,250.0,250.0,1.0
73919,pimiento,2.0,unidades,650,0.0,0.0,1.0
73919,nuez,50.0,gramos,569,1.0,50.0,1.0
73919,pan rallado,30.0,gramos,507,1.0,30.0,1.0
73919,ajo,2.0,dientes,587,3.0,6.0,1.0
73919,granada,1.0,cucharada,690,10.0,10.0,1.0
73919,comino,2.0,pellizcos,855,1.0,2.0,1.0
73919,sal,,None,908,3.0,3.0,1.0
73919,pimienta,2.0,pellizcos,901,1.0,2.0,1.0
73919,zumo de limón,1.0,chorro,834,2.0,2.0,1.0
73919,aceite de oliva,4.0,cucharadas soperas,410,17.0,68.0,1.0
73878,nuez,400.0,None,569,50.0,91.0,1.0
73878,mantequilla,1.0,cucharada sopera,419,17.0,17.0,1.0
73878,azúcar,1.0,vaso,936,250.0,250.0,1.0
73878,zumo de limón,1.0,gotas,834,0.0,0.0,1.0
73817,calabaza,300.0,gramos,605,1.0,300.0,1.0
73817,tomate,0.5,unidad,667,150.0,75.0,1.0
73817,cebolla,1.5,unidad,610,100.0,150.0,1.0
73817,ajo,2.0,dientes,587,3.0,6.0,1.0
73817,queso,200.0,gramos,77,1.0,200.0,1.0
73817,maíz,1.0,None,637,124.0,1011.0,1.0
73817,sal,1.0,pizca,908,1.0,1.0,1.0
73817,pimienta,1.0,pizca,901,1.0,1.0,1.0
73817,pollo,1.0,cucharada sopera,242,17.0,17.0,1.0
73817,aceite,1.0,taza,409,150.0,150.0,1.0
73818,cerdo,1.0,None,175,18.0,1077.0,1.0
73818,longaniza,0.5,None,214,13.0,3037.0,1.0
73818,tocino,300.0,gramos,268,1.0,300.0,1.0
73818,maíz,1.0,None,637,124.0,1011.0,1.0
73818,cebolla,2.0,unidad,610,100.0,200.0,1.0
73818,ajo,1.0,diente,587,3.0,3.0,1.0
73818,aceite,0.25,taza,409,150.0,38.0,1.0
73818,sal,1.0,pizca,908,1.0,1.0,1.0
73818,pimienta,1.0,pizca,901,1.0,1.0,1.0
73816,chile,10.0,None,853,65.0,62.0,1.0
73816,mantequilla,1.0,cucharada sopera,419,17.0,17.0,1.0
73816,cebolla,0.25,unidad,610,100.0,25.0,1.0
73816,queso fresco,1.5,tazas,71,150.0,225.0,1.0
73816,maíz,0.5,None,637,124.0,1011.0,1.0
73816,sal,0.5,cucharada sopera,908,17.0,8.0,1.0
73816,pollo,1.0,cucharada sopera,242,17.0,17.0,1.0
73816,aceite,1.0,taza,409,150.0,150.0,1.0
73816,ajo,1.0,diente,587,3.0,3.0,1.0
73816,aceite,1.0,taza,409,150.0,150.0,1.0
73006,maíz,16.0,None,637,124.0,1011.0,1.0
73006,manteca,250.0,gramos,417,1.0,250.0,1.0
73006,chile,12.0,None,853,65.0,62.0,1.0
73006,ajo,1.0,diente,587,3.0,3.0,1.0
73006,comino,1.0,pizca,855,1.0,1.0,1.0
73006,orégano,0.5,cucharadita,892,7.0,4.0,1.0
73006,queso,400.0,gramos,77,1.0,400.0,1.0
73006,patata,0.5,cubos,643,10.0,5.0,1.0
73006,zanahoria,0.5,cubos,672,10.0,5.0,1.0
73006,sal,1.0,pizca,908,1.0,1.0,1.0
73799,ternera,300.0,None,264,51.0,2893.0,1.0
73799,col rizada,4.0,hojas,619,100.0,100.0,1.0
73799,arroz,1.0,vaso,428,250.0,250.0,1.0
73799,tomate,1.0,taza,667,150.0,150.0,1.0
73799,pimienta negra,1.0,pellizco,902,1.0,1.0,1.0
73799,sal,1.0,cucharadita,908,7.0,7.0,1.0
73799,aceite de oliva,2.0,cucharadas soperas,410,17.0,34.0,1.0
73799,ajo,3.0,dientes,587,3.0,9.0,1.0
73799,cebolla,1.0,unidad,610,100.0,100.0,1.0
73799,tomillo,1.0,cucharadita,930,7.0,7.0,1.0
73756,hojaldre,1.0,lámina,880,410.0,410.0,1.0
73756,champiñón,250.0,gramos,614,1.0,250.0,1.0
73756,cebolla,1.0,unidad,610,100.0,100.0,1.0
73756,huevo,2.0,unidad,150,65.0,130.0,1.0
73756,nata,150.0,mililitros,35,0.0,0.0,1.0
73756,queso,50.0,gramos,77,1.0,50.0,1.0
73756,sal,1.0,pizca,908,1.0,1.0,1.0
73756,aceite de oliva,1.0,chorro,410,2.0,2.0,1.0
73269,harina,180.0,gramos,482,1.0,180.0,1.0
73269,mantequilla,60.0,gramos,419,1.0,60.0,1.0
73269,agua,3.0,cucharadas soperas,766,17.0,51.0,1.0
73269,sal,0.5,cucharada,908,10.0,5.0,1.0
72928,pollo,6.0,None,242,242.0,12354.0,1.0
72928,maíz,12.0,None,637,124.0,1011.0,1.0
72928,cebolla,1.0,unidad,610,100.0,100.0,1.0
72928,tomate,270.0,gramos,667,1.0,270.0,1.0
72928,chile,1.0,taza,853,150.0,150.0,1.0
72928,aceite,1.0,cucharada sopera,409,17.0,17.0,1.0
72928,sal,1.0,pizca,908,1.0,1.0,1.0
72928,pimienta,1.0,pizca,901,1.0,1.0,1.0
72927,atún,3.0,latas,282,330.0,990.0,1.0
72927,chile,2.0,None,853,65.0,62.0,1.0
72927,tomate,2.0,tazas,667,150.0,300.0,1.0
72927,cebolla,1.0,unidad,610,100.0,100.0,1.0
72927,perejil,1.0,taza,899,150.0,150.0,1.0
72927,limón,2.0,unidad,937,48.0,96.0,1.0
72927,sal,1.0,pizca,908,1.0,1.0,1.0
72927,pimienta,1.0,pizca,901,1.0,1.0,1.0
